##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	22_3H_both_S16_L008_R2_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	4050899
Sequences flagged as poor quality	0
Sequence length	101
%GC	50
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1105	38-39	-0.37002220229145166
1105	40-41	-0.360294348027395
1105	42-43	-0.32374588026380735
1105	44-45	-0.2563443440739164
1105	46-47	-0.17644878419388732
1105	48-49	-0.05492732725831928
1105	50-51	-0.06058871697537427
1105	52-53	-0.15828675041071705
1105	54-55	-0.012135523112227986
1105	56-57	-0.22138705334015185
1105	58-59	-0.3368653285900294
1105	60-61	-0.18348827579083604
1105	62-63	-0.26788666665905936
1105	64-65	-0.24150715283313673
1105	66-67	-0.19984652352854226
1105	68-69	-0.1537265264979908
1105	70-71	-0.23505217457268657
1105	72-73	-0.24387211274856924
1105	74-75	-0.26679173705417725
1105	76-77	-0.24986163690819296
1105	78-79	-0.1693601345602147
1105	80-81	-0.24486272357937366
1105	82-83	-0.11859046164965292
1105	84-85	-0.12911830434995153
1105	86-87	-0.15331047523959995
1105	88-89	-0.25280917714254514
1105	90-91	-0.36810291820470553
1105	92-93	-0.3687770740614269
1105	94-95	-0.43698028759164487
1105	96-97	-0.5255027739042291
1105	98-99	-0.33843574899923823
1105	100-101	-0.32885324238879576
1106	1	-0.4577083684437966
1106	2	-0.639967083637675
1106	3	-0.9886374722641023
1106	4	-1.0275814064908246
1106	5	-0.7796661003963052
1106	6	-1.1506338743568705
1106	7	-1.0760794883254192
1106	8	-1.185250816314813
1106	9	-1.058619836726038
1106	10-11	-1.0712490683408618
1106	12-13	-0.6629475967517635
1106	14-15	-0.5541328090813096
1106	16-17	-0.2717996436976975
1106	18-19	-0.2819772897933319
1106	20-21	-0.17370307299904653
1106	22-23	-0.377184727801378
1106	24-25	-0.13498591407872595
1106	26-27	-0.20499038682350346
1106	28-29	-0.3152349457830681
1106	30-31	-0.38381624268996006
1106	32-33	-0.17155151333947316
1106	34-35	-0.3836136119455489
1106	36-37	-0.46015699714425295
1106	38-39	-0.5300692076578954
1106	40-41	-0.5229018401605146
1106	42-43	-0.41397607598892705
1106	44-45	-0.280290966868904
1106	46-47	-0.18756424765374646
1106	48-49	-0.24211183637866185
1106	50-51	-0.06993547295223834
1106	52-53	-0.05907644056701855
1106	54-55	0.013085728536218255
1106	56-57	-0.16578753906227206
1106	58-59	-0.07885313330884713
1106	60-61	-0.13376312661408463
1106	62-63	-0.2102468583364967
1106	64-65	-0.2112503207336971
1106	66-67	-0.07950364549441247
1106	68-69	-0.24132050458826626
1106	70-71	-0.2561698577303986
1106	72-73	-0.12741736194229958
1106	74-75	-0.14214812913115793
1106	76-77	-0.21584071952012351
1106	78-79	-0.06868900238373499
1106	80-81	-0.11140717629327668
1106	82-83	-0.2587424456678278
1106	84-85	-0.21595027322195648
1106	86-87	-0.2655796593047768
1106	88-89	-0.36088887735275677
1106	90-91	-0.31583112273027325
1106	92-93	-0.41859597283014693
1106	94-95	-0.397210613887232
1106	96-97	-0.36968599037700045
1106	98-99	-0.24065466343640907
1106	100-101	-0.16124934094337817
1107	1	-0.6701908681605033
1107	2	-0.3650596569378166
1107	3	-1.0849626869281508
1107	4	-0.8983563903156337
1107	5	-0.9356750488440326
1107	6	-0.9098187906662218
1107	7	-0.9657984237233279
1107	8	-0.8015983289899538
1107	9	-0.8828799265760523
1107	10-11	-0.8672283348459615
1107	12-13	-0.9125426136945904
1107	14-15	-0.8969872103797059
1107	16-17	-0.47285569212458967
1107	18-19	-0.2614399077260572
1107	20-21	-0.22316638545998302
1107	22-23	-0.2177437133515383
1107	24-25	-0.22315477216468338
1107	26-27	-0.16040767034089498
1107	28-29	-0.20834266710910754
1107	30-31	-0.47122707806118314
1107	32-33	-0.23745898755968398
1107	34-35	-0.3578147400055798
1107	36-37	-0.33793107077156037
1107	38-39	-0.47105233062229246
1107	40-41	-0.4073810719392057
1107	42-43	-0.1934510857671583
1107	44-45	-0.327910014487955
1107	46-47	-0.21746167680272777
1107	48-49	-0.09513449627549875
1107	50-51	-0.12869917617667426
1107	52-53	-0.1313202419026993
1107	54-55	0.0868138463282051
1107	56-57	-0.14019399159491996
1107	58-59	-0.09006914254972997
1107	60-61	-0.11009269121800003
1107	62-63	-0.2407269966572656
